"","name","phone","addr","loc","link"
"5","American Inn","(256) 392-7490","4000 Highway 280","Alexander City, AL 35010","https://www.booking.com/hotel/us/alexander-city.html"
"6","Economy Inn","(334) 528-0646","1105 Columbus Pkwy","Opelika, AL 36804","https://economy-inn-opelika.booked.net"
"18","Howard Johnson Hotels","(334) 285-3420","2585 Cobb Hill Pl","Prattville, AL 36066","https://www.wyndhamhotels.com/hojo/prattville-alabama/howard-johnson-prattville/overview"
"19","Staybridge Suites Gulf Shores","(251) 215-8083","3947 Gulf Shores Pkwy","Gulf Shores, AL 36542","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=pnssb&_PMID=99601036&cm_mmc=ypm"
"21","Candlewood Suites Alabaster","(205) 855-4183","1004 Balmoral Dr","Alabaster, AL 35007","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=bhmqr&_PMID=99601036&cm_mmc=ypm"
"25","Hotel Indigo Tuscaloosa Downtown","(659) 210-3075","111 Greensboro Ave","Tuscaloosa, AL 35401","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=tclin&_PMID=99601036&cm_mmc=ypm"
"27","Hotel Indigo Orange Beach - Gulf Shores","(251) 215-8065","22843 Perdido Beach Blvd","Orange Beach, AL 36561","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=orbit&_PMID=99601036&cm_mmc=ypm"
"30","Hotel Indigo Birmingham Five Points S - UAB","(659) 599-6801","1023 20th St S","Birmingham, AL 35205","https://www.hotelindigo.com/redirect?path=hd&brandCode=in&hotelCode=bhmid&_PMID=99601036&cm_mmc=ypm"
"31","Red Roof Inn Prattville","(334) 285-3420","2585 Cobbs Ford Rd","Prattville, AL 36066","http://www.redroof.com/property/al/Prattville/RRI1003"
"39","An Otter's Cove B & B","(907) 747-4529","3211 Halibut Point Rd","Sitka, AK 99835","http://www.ottercovebandb.com"
"40","Bidarka Inn - Best Western","(907) 235-8148","575 Sterling Hwy","Homer, AK 99603","http://www.bidarkainn.com"
"42","Sheraton Anchorage Hotel & Spa","(907) 276-8700","401 E 6th Ave","Anchorage, AK 99501","http://www.sheratonanchoragehotel.com"
"44","Staybridge Suites Anchorage","(907) 931-7350","200 Calais Dr","Anchorage, AK 99503","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=ancsg&_PMID=99601036&cm_mmc=ypm"
"45","Crowne Plaza Anchorage-Midtown","(907) 600-8649","109 W Intl Airport Rd","Anchorage, AK 99518","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=ancpa&_PMID=99601036&cm_mmc=ypm"
"46","Candlewood Suites Fairbanks","(888) 201-7921","551 Harold Bentley Ave","Fairbanks, AK 99701","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=faicw&_PMID=99601036&cm_mmc=ypm"
"48","Big Bear Bed & Breakfast","(907) 277-8189","3401 Richmond Ave","Anchorage, AK 99508",NA
"49","Alyeska Ski Club","(907) 783-2160","PO Box 1070","Girdwood, AK 99587",NA
"50","Yukon Lodge","(907) 543-5443","178 East Ave","Bethel, AK 99559","http://freemasonry.bcy.ca"
"51","Anchorage Grand Hotel","(907) 929-8888","505 W 2nd Ave","Anchorage, AK 99501","http://www.anchoragegrand.com"
"52","Travelodge by Wyndham Juneau","(907) 789-9700","9200 Glacier Hwy","Juneau, AK 99801","http://www.travelodge.com"
"53","Yakutat Lodge","(907) 784-3232","989 Airport Rd","Yakutat, AK 99689","http://www.yakutatlodge.com"
"54","Anchorage Uptown Suites The","(907) 279-4232","234 E 2nd Ave","Anchorage, AK 99501","http://www.anchorageuptownsuites.com"
"55","Beach Roadhouse","(907) 766-3060","1 Mile Beach Rd","Haines, AK 99827","http://beachroadhouse.com"
"56","Kenai Princess Wilderness Lodge","(907) 595-1425","17245 Frontier Cir","Cooper Landing, AK 99572","http://www.princessalaskalodges.com"
"57","Dandy Cabins of Homer","(907) 235-3839","1571 Lakeshore Dr","Homer, AK 99603","http://www.dandycabins.com"
"58","Hilton Anchorage","(907) 272-7411","500 W 3rd Ave","Anchorage, AK 99501","https://www.hilton.com/en/hotels/ancahhf-hilton-anchorage/?SEO_id=YEXTN-AMER-HH-ANCAHHF&y_source=1_MTIyMDkxNS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"60","Kenai Riverfront B & Brv Pk","(907) 262-1717","36193 Douglas Dr","Soldotna, AK 99669","http://www.kenairiverfront.com"
"61","Pike's Waterfront Lodge","(907) 456-4500","1850 Hoselton Rd","Fairbanks, AK 99709","http://www.pikeslodge.com"
"62","Courtyard by Marriott","(907) 245-0322","4901 Spenard Rd","Anchorage, AK 99517","https://www.marriott.com/en-us/hotels/anccy-courtyard-anchorage-airport/overview"
"63","Alaska Creekside Cabins","(907) 746-7632","3200 N Dolly Varden Dr","Wasilla, AK 99654","http://www.alaskacreeksidecabins.com"
"64","Arctic Bed & Breakfast","(907) 272-1853","2607 Arctic Blvd","Anchorage, AK 99503",NA
"65","Black Bear Inn","(907) 225-4353","5528 N Tongass Hwy","Ketchikan, AK 99901","http://www.stayinalaska.com"
"66","Rooney's Roost Bed & Breakfast","(907) 874-2026","206 Mckinnon St","Wrangell, AK 99929",NA
"74","Crowne Plaza Phoenix Airport - PHX","(602) 755-3422","4300 E Washington St","Phoenix, AZ 85034","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=phxea&_PMID=99601036&cm_mmc=ypm"
"75","Staybridge Suites Tucson Airport","(520) 783-6324","2705 E Executive Dr","Tucson, AZ 85756","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=tussb&_PMID=99601036&cm_mmc=ypm"
"76","Staybridge Suites Phoenix - Glendale Sports Dist","(602) 704-1282","9340 W Cabela Dr","Glendale, AZ 85305","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=phxgz&_PMID=99601036&cm_mmc=ypm"
"77","Residence Inn BY Marriott Prescott","(928) 237-9275","3599 Lee Cir","Prescott, AZ 86301","http://www.marriott.com/hotels/travel/prcri-residence-inn-prescott/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe"
"79","Staybridge Suites Phoenix - Chandler","(602) 830-6281","3990 W Chandler Blvd","Chandler, AZ 85226","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=phxot&_PMID=99601036&cm_mmc=ypm"
"81","Staybridge Suites Scottsdale - Talking Stick","(602) 830-6623","9141 E Hummingbird Ln","Scottsdale, AZ 85250","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=phxso&_PMID=99601036&cm_mmc=ypm"
"82","Staybridge Suites Phoenix East - Gilbert","(623) 632-0585","5275 E Baseline Rd","Gilbert, AZ 85234","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=phxgl&_PMID=99601036&cm_mmc=ypm"
"83","Staybridge Suites Phoenix – Biltmore Area","(602) 887-5698","2940 N Greenfield Rd","Phoenix, AZ 85016","https://www.staybridge.com/redirect?path=hd&brandCode=sb&hotelCode=phxbi&_PMID=99601036&cm_mmc=ypm"
"84","Candlewood Suites Nogales","(520) 841-5488","875 N Frank Reed Rd","Nogales, AZ 85621","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=nogcw&_PMID=99601036&cm_mmc=ypm"
"86","Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort","(623) 292-2624","1 N San Marcos Pl","Chandler, AZ 85225","https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=phxqq&_PMID=99601036&cm_mmc=ypm"
"87","Candlewood Suites Sierra Vista","(520) 895-3156","1904 S Highway 92","Sierra Vista, AZ 85635","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=fhuaz&_PMID=99601036&cm_mmc=ypm"
"88","Candlewood Suites Tucson","(520) 594-1538","1995 W River Rd","Tucson, AZ 85704","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=tuscw&_PMID=99601036&cm_mmc=ypm"
"89","Candlewood Suites Yuma","(928) 459-2026","2036 S. Avenue #3e","Yuma, AZ 85365","https://www.candlewoodsuites.com/redirect?path=hd&brandCode=cw&hotelCode=yumcw&_PMID=99601036&cm_mmc=ypm"
"90","SpringHill Suites By Marriott Prescott","(928) 776-0998","200 E Sheldon St","Prescott, AZ 86301","http://www.springhillsuitesprescott.com"
"108","Terry Motel","(479) 274-8743","4020 Midland Blvd","Fort Smith, AR 72904",NA
"109","Ashley Inn","(870) 364-4911","201 Unity Rd","Crossett, AR 71635","http://www.ashleyinnofcrossett.com"
