"","X","ip","port","country.anonymity.ssl","google_passed"
"13",13,"189.190.209.210",999,"MX-N-S","-"
"18",18,"47.254.153.200",80,"DE-A!","+"
"24",24,"20.187.84.29",8000,"HK-A-S","+"
"30",30,"180.191.40.48",8080,"PH-N-S","-"
"32",32,"104.208.98.217",8000,"HK-A-S","+"
"54",54,"104.208.97.22",8000,"HK-A-S","+"
"58",58,"20.77.252.14",8000,"GB-A-S","+"
"66",66,"20.68.122.191",8000,"GB-A-S","+"
"69",69,"190.121.157.142",999,"CO-N!","-"
"87",87,"190.113.41.212",999,"DO-N-S","+"
"90",90,"145.40.118.31",3128,"SG-N-S","+"
"118",118,"1.179.136.98",8080,"TH-N","-"
"125",125,"20.25.167.163",8000,"US-A-S","+"
"131",131,"51.103.76.148",8000,"FR-A-S","+"
"135",135,"20.24.181.133",80,"SG-A-S!","+"
"136",136,"20.16.90.78",8000,"NL-A-S","+"
"138",138,"20.210.103.34",8000,"JP-A-S","+"
"146",146,"20.113.136.195",8000,"DE-A-S","+"
"160",160,"188.132.152.78",8080,"TR-N","-"
"162",162,"185.150.130.103",808,"TR-A-S","+"
"192",192,"20.205.43.55",8000,"HK-A","-"
"202",202,"51.103.18.89",8000,"FR-A-S","+"
"223",223,"20.89.156.119",8000,"JP-A-S","+"
"226",226,"181.233.90.33",999,"VE-N-S","-"
"236",236,"167.235.137.17",3128,"DE-N","+"
"249",249,"20.239.53.82",8000,"HK-A-S","+"
"251",251,"168.90.255.60",999,"AR-N","-"
"254",254,"177.93.44.53",999,"CO-N","-"
"255",255,"145.40.77.207",3128,"US-N-S","+"
"259",259,"177.93.51.168",999,"CO-N-S!","-"
"260",260,"154.13.4.80",59394,"US-A!","-"
"262",262,"187.188.167.30",3128,"MX-N","+"
"274",274,"51.103.19.39",8000,"FR-A-S","+"
"279",279,"181.57.131.122",8080,"CO-N-S","-"
"284",284,"190.95.199.146",999,"EC-N-S","-"
"295",295,"196.12.163.66",8080,"PR-H-S!","+"
"298",298,"104.238.205.68",4003,"US-H-S","+"
"327",327,"183.88.3.8",8080,"TH-N","-"
"343",343,"20.205.42.232",8000,"HK-A-S","+"
"353",353,"20.213.100.107",8000,"AU-A-S","+"
"358",358,"95.183.51.52",3128,"CH-N","+"
"362",362,"181.129.49.214",999,"CO-N-S","-"
"364",364,"103.55.88.53",8080,"IN-N","-"
"370",370,"104.37.99.129",8282,"US-N","+"
"390",390,"51.159.162.151",80,"FR-N","+"
"395",395,"202.131.159.90",80,"IN-N-S","-"
"400",400,"20.163.80.88",8000,"US-A-S","+"
